ZE,ENDEREÇO,BAIRRO,CIDADE,Address,Latitude,Longitude
153,"RUA URUGUAI, 51",CENTRO,BELFORD ROXO,"RUA URUGUAI, 51	CENTRO	BELFORD ROXO",-22.762898,-43.404961
154,"RUA URUGUAI, 51",CENTRO,BELFORD ROXO,"RUA URUGUAI, 51	CENTRO	BELFORD ROXO",-22.762898,-43.404961
155,"RUA URUGUAI, 51",CENTRO,BELFORD ROXO,"RUA URUGUAI, 51	CENTRO	BELFORD ROXO",-22.762898,-43.404961
156,"RUA DR MÁRIO GUIMARÃES, 968 - ED. DO FÓRUM - ANEXO - 4 ANDAR",BAIRRO DA LUZ,NOVA IGUAÇU,"RUA DR MÁRIO GUIMARÃES, 968 - ED. DO FÓRUM - ANEXO - 4 ANDAR	BAIRRO DA LUZ	NOVA IGUAÇU",-22.756687,-43.460868
157,RUA GETULIO VARGAS 104,CENTRO,NOVA IGUAÇU,RUA GETULIO VARGAS 104	CENTRO	NOVA IGUAÇU,-22.761619,-43.450826
158,"RUA DR MÁRIO GUIMARÃES, 968 - ED. DO FÓRUM - ANEXO - 4 ANDAR",BAIRRO DA LUZ,NOVA IGUAÇU,"RUA DR MÁRIO GUIMARÃES, 968 - ED. DO FÓRUM - ANEXO - 4 ANDAR	BAIRRO DA LUZ	NOVA IGUAÇU",-22.756687,-43.460868
159,"RUA CEL. BERNARDINO DE MELLO 2585, CENTRO - NOVA IGUAÇU / RJ",CENTRO,NOVA IGUAÇU,"RUA CEL. BERNARDINO DE MELLO 2585, CENTRO - NOVA IGUAÇU / RJ	CENTRO	NOVA IGUAÇU",-22.758847,-43.455823
161,"RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320",OLARIA,RIO DE JANEIRO,"RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320	OLARIA	RIO DE JANEIRO",-22.841236,-43.2681772
162,"RUA FILOMENA NUNES, 961",OLARIA,RIO DE JANEIRO,"RUA FILOMENA NUNES, 961	OLARIA	RIO DE JANEIRO",-22.843064,-43.265984
167,"ESTRADA DO CAMBOATÁ 2300, SALAS 201/203-GUADALUPE SHOPPING",GUADALUPE,RIO DE JANEIRO,"ESTRADA DO CAMBOATÁ 2300, SALAS 201/203-GUADALUPE SHOPPING	GUADALUPE	RIO DE JANEIRO",-22.8364187,-43.3815414
